*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CharliePlexedLampFieldv2a
*Date=23:31:20
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;108.66;-17.0605;0;Bottom;Via36
2;;3 mm [THT];55.9594;-29.788;90;Bottom;LED8
3;;3 mm [THT];116.919;-29.788;90;Bottom;LED20
4;;;151.828;-6.92798;0;Bottom;Via57
5;;;62.927;-14.5836;0;Bottom;Via18
6;;;32.412;-17.0645;0;Bottom;Via6
7;;;131.527;-24.715;0;Bottom;Via45
8;;;85.7935;-6.88677;0;Bottom;Via27
9;;;139.084;-24.715;0;Bottom;Via48
10;220;THT;9.58822;-14.5479;180;Bottom;R4
11;;;95.5909;-22.6708;0;Bottom;TXT1
12;;3 mm [THT];76.2794;-19.628;90;Bottom;LED12
13;;;95.967;-6.88677;0;Bottom;Via31
14;;3 mm [THT];30.5594;-19.628;90;Bottom;LED3
15;;3 mm [THT];91.5194;-19.628;90;Bottom;LED15
16;;;19.7481;-1.84798;0;Bottom;Hole4
17;;;103.525;-6.88677;0;Bottom;Via34
18;;;110.887;-22.7586;0;Bottom;TXT1
19;;3 mm [THT];137.239;-19.628;90;Bottom;LED24
20;;;80.755;-27.2342;0;Bottom;Via25
21;;;126.391;-4.36766;0;Bottom;Via43
22;;;19.7594;-27.2362;0;Bottom;Via1
23;;;151.828;-17.0879;0;Bottom;Via55
24;;;134.046;-4.36766;0;Bottom;Via46
25;;;126.046;-22.5753;0;Bottom;TXT1
26;;;27.3673;-27.2362;0;Bottom;Via4
27;;3 mm [THT];20.3994;-9.46802;90;Bottom;LED1
28;;;34.9754;-17.0645;0;Bottom;Via7
29;;3 mm [THT];66.1194;-9.46802;90;Bottom;LED10
30;;3 mm [THT];127.079;-9.46802;90;Bottom;LED22
31;;;146.739;-4.36766;0;Bottom;Via51
32;;molex-1x6-ra_lock;8.31822;-5.28323;0;Bottom;JP2
33;;;57.8826;-27.2362;0;Bottom;Via16
34;;3 mm [THT];81.3594;-9.46802;90;Bottom;LED13
35;;3 mm [THT];142.319;-9.46802;90;Bottom;LED25
36;;;149.288;-1.84798;0;Bottom;Hole2
37;;;65.4907;-14.5836;0;Bottom;Via19
38;;;34.6924;-22.58;0;Bottom;TXT1
39;;;100.66;-12.5257;0;Bottom;TXT1
